Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,100-1_P1-C-1_01_13558,100-10_P1-C-1_01_13567,100-11_P1-C-1_01_13568,100-12_P1-C-1_01_13569,100-13_P1-C-1_01_13570,100-14_P1-C-1_01_13571,100-15_P1-C-1_01_13572,100-16_P1-C-1_01_13573,100-17_P1-C-1_01_13574,100-18_P1-C-1_01_13575,100-19_P1-C-1_01_13576,100-2_P1-C-1_01_13559,100-20_P1-C-1_01_13577,100-21_P1-C-1_01_13578,100-22_P1-C-1_01_13579,100-23_P1-C-1_01_13580,100-24_P1-C-1_01_13581,100-25_P1-C-1_01_13582,100-3_P1-C-1_01_13560,100-4_P1-C-1_01_13561,100-5_P1-C-1_01_13562,100-6_P1-C-1_01_13563,100-7_P1-C-1_01_13564,100-8_P1-C-1_01_13565,100-9_P1-C-1_01_13566
0,13.804,60.01611,Unknown,[M-H]-,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,0,0,0,null,null,null,null,null,null,null,2.87,100-12_P1-C-1_01_13569,60.01611:23632 61.02078:3986 62.02544:0,null,22688,19704,20820,21810,20975,20305,20279,21626,21759,20852,20245,21183,20744,20588,21268,20423,20003,21475,21198,20468,20193,19990,20315,20678,20593
1,8.301,60.0164,Unknown,[M-H]-,null,0.44,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,1,0,0,null,null,null,null,null,null,null,7.38,100-19_P1-C-1_01_13576,60.01640:27600 61.02107:5844 62.02573:0,null,25803,25389,25602,25037,25460,24474,24674,24569,25259,25957,26069,26177,25095,25599,25431,25881,24446,25654,25041,24411,24939,24583,25423,25700,25835
2,12.684,60.99166,Unknown,[M-H]-,null,0.08,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,2,0,0,null,null,null,null,null,null,null,8.93,100-15_P1-C-1_01_13572,60.99166:2784 61.99633:0 63.00100:0,null,1541,1684,1632,1494,1433,1481,2054,1556,1320,1688,1635,1392,1434,1659,1376,1626,1652,1296,1295,1385,1361,1528,1596,1306,1188
3,24.569,60.99196,Unknown,[M-H2O-H]-,null,0.68,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,3,0,0,null,null,null,null,null,null,null,11.26,100-14_P1-C-1_01_13571,60.99196:21984 61.99663:608 63.00129:0,null,2170,1877,1201,2388,2334,6254,1533,2946,1012,1785,1901,1530,2239,1675,1485,1387,1350,790,1929,1611,1990,1098,1403,2149,1074
4,18.877,60.99199,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,4,0,0,null,null,null,null,null,null,null,43.14,100-24_P1-C-1_01_13581,60.99199:10418 61.99666:0 63.00132:0,null,7729,8064,7821,7862,7786,7613,8242,7742,8140,7693,8154,7276,7827,8110,8120,8045,8358,7572,7222,7831,7506,7844,7654,7744,8033
5,6.945,60.99204,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,5,0,0,null,null,null,null,null,null,null,140.19,100-22_P1-C-1_01_13579,60.99204:36378 61.99671:636 63.00137:0,null,23258,23838,22413,21692,24154,22218,22799,24630,24817,22732,23325,21691,21970,22588,24980,21845,21614,22323,22098,22871,22668,24578,23600,21348,23386
6,0.093,60.99209,Unknown,[M-H]-,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,6,0,0,null,null,null,null,null,null,null,5.3,100-17_P1-C-1_01_13574,60.99209:4808 61.99676:1462 63.00142:0,null,2896,3451,3406,3408,3453,3033,3917,3770,4073,3842,3040,3205,3639,3399,3276,3464,3301,3300,2847,3150,3290,3337,2982,3155,3389
7,27.977,60.9922,Unknown,[M-H]-,null,0.12,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,7,0,0,null,null,null,null,null,null,null,10,100-24_P1-C-1_01_13581,60.99220:6644 61.99687:1160 63.00153:0,null,4731,5240,5444,5490,5996,5335,5736,5810,5569,6406,6242,5350,5339,6809,6013,5784,6859,5658,5195,4970,5582,4776,5082,5465,5950
8,2.131,60.99223,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,8,0,0,null,null,null,null,null,null,null,30.48,100-11_P1-C-1_01_13568,60.99223:7944 61.99690:370 63.00156:0,null,5402,4489,5538,4964,5308,4957,5105,5279,5116,4954,5246,4927,4889,5532,5038,5008,4680,5315,4703,5037,4626,4966,4946,5098,5180
9,19.765,60.99224,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,9,0,0,null,null,null,null,null,null,null,74.83,100-7_P1-C-1_01_13564,60.99224:20954 61.99691:0 63.00158:0,null,17158,18541,17606,18722,18592,18066,18590,18600,18870,17990,18854,17840,18629,18296,17832,18216,18845,17136,16844,17563,18303,16423,19437,17843,17719
