Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
0	low score: Gitoxigenin Diacetate	386	0.648	1.453	2.590	473.28030	8317	148278	1.000	8316.75000	11.880	0.565	1.000	0.292		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	473.28860	C27H38O7	null	FYZCUGVROGLOCP-ICIBFRGGSA-N	O=C1OCC(=C1)C2C(OC(=O)C)CC3(OC(=O)C)C4CCC5CC(O)CCC5(C)C4CCC23C	530	False	True	False	0.00	0.71	0.000	0.000	0.000	0.00	0.00	0.354	8316.75000	473.28030:9572 474.28262:2646 475.28751:1040	205.15996:1894 457.24881:722 473.28040:40402 474.28436:11028 475.28445:1884
1	Unknown	395	0.797	1.488	2.397	474.28418	2591	42567	1.000	2591.12500	7.102	0.750	1.000	0.446		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2591.12500	474.28418:3420 475.28796:438	null
2	low score: albocycline	407	0.926	1.536	2.397	307.19412	1914	34878	1.000	1914.37500	6.752	0.731	1.000	0.429		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	307.19147	C18H28O4	Macrolides and analogues	BYWWNDLILWPPJP-REXWONOSSA-N	O=C1OC(C)C(C)CCC=C(C)C(OC)C=CC(O)(C=C1)C	530	False	True	False	0.00	0.97	0.743	0.983	0.794	4.00	0.22	1.647	1914.37500	307.19412:2196 308.19525:712	79.95674:1552 95.95140:962 96.95894:8386 307.19421:4494 309.17303:2856
3	no MS2: (2E,4E)-12-Hydroxy-13-(hydroxymethyl)-14-methoxy-3,5,7-trimethyl-14-oxotetradeca-2,4-dienoic acid	407	0.987	1.536	2.243	337.20401	1087	17721	1.000	1086.75000	5.837	0.699	1.000	0.454		[M-H-H2O]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	337.20200	C19H32O6	null	WKPLWDFQTVJLIX-WFYKWJGLSA-N		530	False	True	False	0.00	0.98	0.000	0.000	0.000	-1.00	-1.00	0.323	1086.75000	337.20401:1542 338.20776:358 339.19980:8222	null
4	low score: [(1R,2S,3S,4R,4aS)-2,3-dihydroxy-3,4a,8,8-tetramethyl-4-[(E)-3-oxobut-1-enyl]-2,4,5,6,7,8a-hexahydro-1H-naphthalen-1-yl] acetate	407	1.013	1.536	2.039	351.22159	1075	18091	1.000	1074.87500	5.381	0.736	1.000	0.379		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	351.21768	C20H32O5	Sesquiterpenoids	BNOWPELKBYSHKU-GFZHNTIHSA-N	O=C(OC1C(O)C(O)(C)C(C=CC(=O)C)C2(C)CCCC(C)(C)C12)C	530	False	True	False	0.00	0.93	0.701	0.902	0.774	4.00	0.24	1.562	1074.87500	351.22159:1484 352.22382:444	79.95660:954 96.95914:3468 351.22055:1900 352.22375:612 353.20181:1436
5	low score: (1R,2E,7R,10E,12S,13S,15R)-12,15-dihydroxy-7-methyl-8-oxabicyclo[11.3.0]hexadeca-2,10-dien-9-one	419	0.797	1.584	2.693	279.16150	2233	42458	1.000	2233.25000	8.479	0.729	1.000	0.460		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	279.16019	C16H24O4	Macrolides and analogues	KQNZDYYTLMIZCT-SWGFJCPHSA-N	O=C1OC(C)CCCC=CC2CC(O)CC2C(O)C=C1	530	False	True	False	0.00	0.99	0.483	0.887	0.607	4.00	0.21	1.418	2233.25000	279.16150:3586 280.16592:314	96.95905:4870 279.16373:2840 280.16663:682 280.96182:1114 281.24799:752
6	low score: Embelin	419	1.205	1.584	2.191	293.17780	3936	76429	1.000	3935.87500	10.093	0.812	1.000	0.538		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	293.17581	C17H26O4	null	IRSFLDGTOHBADP-UHFFFAOYSA-N		530	False	True	False	0.00	0.98	0.564	0.714	0.929	2.00	0.50	1.522	3935.87500	293.17780:5002 294.18094:624	79.95582:996 96.95905:9406 293.17752:4800 294.18332:724 295.15848:636
7	low score: Isomucronulatol	419	0.926	1.584	2.487	301.11005	1348	25639	1.000	1347.62500	6.924	0.716	1.000	0.460		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	301.10809	C17H18O5	null	NQRBAPDEZYMKFL-NSHDSACASA-N		530	False	True	False	0.00	0.98	0.600	0.706	0.883	2.00	0.25	1.479	1347.62500	301.11005:2038 302.11441:404	79.95663:1272 149.06184:746 164.08595:788 220.14920:606 221.08217:768 221.15221:678 301.11078:2760 302.11380:968
8	no MS2: C12-AE1S (TENTATIVE)	419	1.254	1.584	2.590	309.17267	1586	29913	1.000	1585.75000	6.901	0.741	1.000	0.460		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	309.17413	C14H30O5S	Sulfuric acid monoesters	QTDIEDOANJISNP-UHFFFAOYSA-N	CCCCCCCCCCCCOCCOS(O)(=O)=O	530	False	True	False	0.00	0.99	0.000	0.000	0.000	-1.00	-1.00	0.328	1585.75000	309.17267:2488 310.17227:352 311.16769:11808	null
9	no MS2: Hymeglusin	419	1.019	1.584	2.243	323.18805	1140	17988	1.000	1140.12500	6.384	0.918	1.000	0.685		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	323.18640	C18H28O5	null	ODCZJZWSXPVLAW-KXCGKLMDSA-N		530	False	True	False	0.00	0.99	0.000	0.000	0.000	-1.00	-1.00	0.327	1140.12500	323.18805:1446 324.19357:356 325.18250:16630	null
10	low score: (E)-3-(4-Acetyloxy-2,3-dihydroxy-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl)prop-2-enoic acid	419	0.824	1.584	1.836	353.19989	1056	18206	1.000	1055.62500	5.438	0.646	0.997	0.273		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	353.19699	C19H30O6	null	OZESVNMBZAEFCX-BQYQJAHWSA-N		530	False	True	False	0.00	0.96	0.115	0.154	0.862	1.00	0.14	0.925	1055.62500	353.19989:1476 354.20511:314	79.95612:14992 80.96473:1976 96.95915:4678 122.03611:8454 123.04086:624 135.04446:8336 152.10863:872 191.07281:3454 274.14365:3700 275.14682:1136 276.15936:30980 277.16260:2832 351.22064:1672 353.20038:2496 354.10071:8418 354.20291:666 355.10434:1794 356.11734:42298 357.11938:2562
11	low score: N-Cyclohexyl-N'-(3,5-dimethyl-1H-pyrazol-4-yl)thiourea	432	0.839	1.636	2.693	251.13127	1687	34757	1.000	1687.25000	6.771	0.826	1.000	0.608		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	251.13361	C12H20N4S	null	ZFDRVICUSQZDJK-UHFFFAOYSA-N		530	False	True	False	0.00	0.97	0.302	0.357	0.864	1.00	0.33	1.159	1687.25000	251.13127:2074 252.13264:600	79.95602:1742 96.95865:6664 248.97142:11684 251.13023:2492
12	low score: Laurylsulfuric acid	432	1.321	1.636	2.693	265.14661	17150	374976	111.682	153.55950	21.878	0.859	1.000	0.629		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	265.14789	C12H26O4S	null	MOTZDAYCYVMXPC-UHFFFAOYSA-N		530	False	True	False	0.00	0.99	0.933	0.868	0.936	2.00	1.00	1.875	153.55950	265.14661:21480 266.15033:2942 267.14197:964	79.95627:6322 95.95088:2068 96.95913:46818 98.95511:1106 265.14703:20344 266.14975:3224 267.14407:1214
13	Unknown	432	0.797	1.636	2.792	266.15033	2359	50342	1.000	2359.37500	8.421	0.851	1.000	0.536		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2359.37500	266.15033:2942 267.14197:964	null
14	Dodecylbenzenesulfonic acid	432	1.321	1.636	2.890	325.18372	14291	314198	1.000	14291.25000	19.840	0.728	1.000	0.518		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	325.18430	C18H30O3S	null	KWXICGTUELOLSQ-UHFFFAOYSA-N		430	False	True	True	0.00	1.00	0.851	0.875	0.946	6.00	0.75	1.802	14291.25000	325.18372:19404 326.18668:3838 327.18344:914	79.95649:958 96.95880:5496 119.04885:1582 170.00545:634 183.01338:18650 184.01768:2414 185.00970:730 197.02769:674 265.14676:1632 323.19009:2582 325.18417:24042 326.18665:4624 327.18320:1158
