Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	413	1.039	1.611	2.208	474.28165	1874	34100	1.000	1874.12500	5.223	0.617	1.000	0.324		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	1874.12500	474.28165:2070 475.28671:354	null
1	low score: Gitoxigenin Diacetate	415	1.039	1.617	2.167	473.28049	6223	110021	1.000	6222.75000	8.930	0.743	1.000	0.461		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	473.28860	C27H38O7	null	FYZCUGVROGLOCP-ICIBFRGGSA-N	O=C1OCC(=C1)C2C(OC(=O)C)CC3(OC(=O)C)C4CCC5CC(O)CCC5(C)C4CCC23C	530	False	True	False	0.00	0.72	0.000	0.000	0.000	0.00	0.00	0.360	6222.75000	473.27838:7068 474.28030:2126 475.28900:520	205.16002:1294 457.24475:684 473.27826:29868 474.28134:8138 475.28403:1666
2	low score: NCGC00017248-12!2,5-dihydroxy-3-undecylcyclohexa-2,5-diene-1,4-dione	454	1.039	1.773	2.281	293.17725	1827	35231	95.442	19.14243	6.283	0.781	1.000	0.728		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	293.17599	C17H26O4	P-benzoquinones	IRSFLDGTOHBADP-UHFFFAOYSA-N	O=C1C=C(O)C(=O)C(=C1O)CCCCCCCCCCC	530	False	True	False	0.00	0.99	0.590	0.690	0.853	1.00	0.50	1.504	19.14243	293.17725:2062 294.18109:424	96.95822:4142 293.17612:2386
3	Unknown	466	1.141	1.822	2.274	91.02058	4417	96367	1.000	4417.25000	9.772	0.670	0.997	0.445		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	4417.25000	91.02058:6078 92.01949:558	null
4	low score: Laurylsulfuric acid	466	1.471	1.822	2.489	265.14603	14814	329295	107.212	135.11690	17.633	0.704	1.000	0.546		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	265.14789	C12H26O4S	null	MOTZDAYCYVMXPC-UHFFFAOYSA-N		530	False	True	False	0.00	0.98	0.928	0.866	0.937	2.00	1.00	1.868	135.11690	265.14603:19828 266.14917:2470 267.14355:648	79.95597:5194 95.95066:1890 96.95855:36456 98.95509:1418 265.14563:14174 266.14798:2380 267.14249:678
5	Unknown	466	1.141	1.822	2.336	266.14917	2015	43550	64.603	31.19636	6.236	0.700	0.998	0.416		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	31.19636	266.14917:2470 267.14355:648	null
6	no MS2: Dipteryxin	466	1.175	1.822	2.208	313.07709	2131	41757	1.000	2130.87500	7.141	0.715	0.993	0.523		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	313.07199	C17H14O6	null	BSXFDHHTXOAUGB-UHFFFAOYSA-N	O=C1C(=COC2=C(O)C(O)=C(OC)C=C12)C=3C=CC(OC)=CC3	530	False	True	False	0.00	0.88	0.000	0.000	0.000	-1.00	-1.00	0.272	2130.87500	313.07709:2766 314.07791:1094 315.07584:442	null
7	low score: D-Arabinonic acid	478	0.925	1.871	2.798	165.04141	7129	209897	1.000	7128.50000	11.046	0.695	1.000	0.383		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	165.04050	C5H10O6	null	QXKAIJAYHKCRRA-JJYYJPOSSA-N		530	False	True	False	0.00	1.00	0.518	0.473	0.813	1.00	0.14	1.288	7128.50000	165.04141:7562 166.04272:1680 167.03909:480	74.98918:7994 75.99129:660 79.95594:1860 91.02008:1706 149.00920:7730 150.01073:1050 151.00691:632
8	low score: 3-(5-Chloro-1H-benzimidazol-2-yl)propanoic acid	478	1.611	1.871	2.489	223.02635	5379	137586	1.000	5332.00000	9.053	0.779	0.995	0.685		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	223.02800	C10H9ClN2O2	null	LPODEKMPICKOID-UHFFFAOYSA-N		530	False	True	False	0.00	0.99	0.597	0.765	0.879	1.00	0.33	1.523	5332.00000	223.02635:6030 224.02647:904 225.02411:912	74.98849:882 149.00861:716 223.02632:1282
9	low score: 4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydroisochromen-1-one	478	1.078	1.871	2.544	239.05797	5612	146669	1.000	5611.50000	10.073	0.737	1.000	0.602		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	239.05611	C11H12O6	null	ZLLQQKITWRWKTD-UHFFFAOYSA-N		530	False	True	False	0.00	0.98	0.240	0.260	0.866	1.00	1.00	1.197	5611.50000	239.05797:5540 240.05867:1620 241.05594:800	68.99451:684 74.98943:9870 76.98651:600 91.02058:4028 92.99955:758 149.00955:4078 223.02730:10766 224.02750:2008 225.02422:1118
